PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
53370240,UG,BS   ,Bachelor of Science,12/13/19,BSFLM,Film Production
47547500,UG,BS   ,Bachelor of Science,4/26/19,BSCOM,COMMUNICATION
47548830,UG,BS   ,Bachelor of Science,6/30/19,BSGRD,Graphic Design
44433970,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
87654980,UG,BS   ,Bachelor of Science,8/20/20,BSMLM,Ministerial Leadership: Christian Ministry (SN)
61025720,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
61029710,UG,BS   ,Bachelor of Science,2/2/23,BIOPR,BIOLOGY: PRE-MED
57993320,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
53379550,UG,BS   ,Bachelor of Science,4/24/20,BSPSY,Psychology
59284750,UG,BA   ,Bachelor of Arts,4/24/20,BAMUS,Music
61044340,UG,BS   ,Bachelor of Science,8/31/18,BSLGS,Legal Studies
79585870,UG,BS   ,Bachelor of Science,4/27/23,BSBIM,Biology: Medical Sciences
79589860,UG,BBA  ,Bachelor of Busi Admin,4/24/20,BBA,Business Administration (SN)
79593850,UG,BS   ,Bachelor of Science,4/29/22,BSGRD,Graphic Design
1065330,UG,BS   ,Bachelor of Science,5/4/18,BSMGT,Management
47923890,UG,BA   ,Bachelor of Arts,12/14/18,BAENG,ENGLISH
4923660,UG,BS   ,Bachelor of Science,5/4/18,BSCHM,CHURCH MUSIC
83968220,UG,BS   ,Bachelor of Science,8/23/22,BSOLE,ORGANIZATIONAL LEADERSHIP: ENTREPRENEURIAL
83969550,UG,BS   ,Bachelor of Science,12/12/23,BSCMS,Communication & Mass Media (SN)
83973540,UG,BS   ,Bachelor of Science,4/29/22,BSCSD,Communication Sciences & Disorders
5443690,UG,BS   ,Bachelor of Science,5/4/18,BSPSY,Psychology
61052320,UG,BS   ,Bachelor of Science,12/13/19,BSPSO,PSYCHOLOGY (SN)
61056310,UG,BS   ,Bachelor of Science,4/26/19,BSMKT,Marketing
61060300,UG,BS   ,Bachelor of Science,7/31/19,BSSMB,SPORT MANAGEMENT: BUSINESS
61082910,UG,BS   ,Bachelor of Science,12/17/20,BSCMS,Communication & Mass Media (SN)
81080790,UG,BS   ,Bachelor of Science,12/11/23,BSGS,General Studies
50678320,UG,BS   ,Bachelor of Science,4/26/19,BSSMB,SPORT MANAGEMENT: BUSINESS
50682310,UG,BS   ,Bachelor of Science,7/31/18,BSHUS,Human Services (SN)
55152440,UG,BS   ,Bachelor of Science,5/4/18,ELEMK,Elementary Education
55153770,UG,BS   ,Bachelor of Science,8/31/19,BSN,Nursing
55156430,UG,BS   ,Bachelor of Science,12/14/18,BSBCT,BROADCASTING
